Bill_ID,Bill_Date,Product_Name,Quantity,Unit_Price,Total_Price,Bill_Total
1,2026-03-11,Catalogue_Sareee_3,2,680.0,1360.0,1555.0
1,2026-03-11,Leggings_3,1,195.0,195.0,1555.0
2,2026-02-15,Catalogue_Sareee_8,3,755.0,2265.0,4765.0
2,2026-02-15,Kids_dress_2,4,625.0,2500.0,4765.0
3,2026-02-22,Silk_Saree_5,4,800.0,3200.0,14630.0
3,2026-02-22,Catalogue_Sareee_2,4,665.0,2660.0,14630.0
3,2026-02-22,Silk_Saree_1,5,750.0,3750.0,14630.0
3,2026-02-22,Kids_dress_2,1,625.0,625.0,14630.0
3,2026-02-22,Catalogue_Sareee_9,2,770.0,1540.0,14630.0
3,2026-02-22,Nighty_1,5,325.0,1625.0,14630.0
3,2026-02-22,Kurti_Chudidar_Top_1,3,410.0,1230.0,14630.0
4,2026-03-11,Catalogue_Sareee_10,3,785.0,2355.0,7580.0
4,2026-03-11,Nighty_2,5,375.0,1875.0,7580.0
4,2026-03-11,Catalogue_Sareee_7,4,740.0,2960.0,7580.0
4,2026-03-11,Leggings_3,2,195.0,390.0,7580.0
5,2026-02-05,Kids_dress_10,4,825.0,3300.0,11865.0
5,2026-02-05,Catalogue_Sareee_9,4,770.0,3080.0,11865.0
5,2026-02-05,Leggings_3,3,195.0,585.0,11865.0
5,2026-02-05,Catalogue_Sareee_1,4,650.0,2600.0,11865.0
5,2026-02-05,Kurti_Chudidar_Top_3,5,460.0,2300.0,11865.0
6,2026-02-08,Catalogue_Sareee_5,1,710.0,710.0,2950.0
6,2026-02-08,Kurti_Chudidar_Top_7,4,560.0,2240.0,2950.0
7,2026-02-02,Leggings_4,2,205.0,410.0,5470.0
7,2026-02-02,Kurti_Chudidar_Top_5,1,510.0,510.0,5470.0
7,2026-02-02,Silk_Saree_1,1,750.0,750.0,5470.0
7,2026-02-02,Cotton_Saree_2,2,700.0,1400.0,5470.0
7,2026-02-02,Kids_dress_9,3,800.0,2400.0,5470.0
8,2026-01-14,Catalogue_Sareee_10,1,785.0,785.0,22085.0
8,2026-01-14,Catalogue_Sareee_2,5,665.0,3325.0,22085.0
8,2026-01-14,Kurti_Chudidar_Top_4,5,485.0,2425.0,22085.0
8,2026-01-14,Silk_Saree_5,5,800.0,4000.0,22085.0
8,2026-01-14,Catalogue_Sareee_4,5,695.0,3475.0,22085.0
8,2026-01-14,Cotton_Saree_1,3,650.0,1950.0,22085.0
8,2026-01-14,Kids_dress_6,5,725.0,3625.0,22085.0
8,2026-01-14,Kids_dress_2,4,625.0,2500.0,22085.0
9,2026-01-03,Cotton_Saree_6,2,900.0,1800.0,1800.0
10,2026-02-07,Kids_dress_4,4,675.0,2700.0,2700.0
11,2026-03-23,Kids_dress_1,5,600.0,3000.0,14725.0
