Bill_ID,Date,Product_Name,Quantity,Unit_Price,Total_Price,Bill_Total
1,2026-01-01,Kajal,3,70.0,210.0,395.0
1,2026-01-01,Bindi_Packets,3,15.0,45.0,395.0
1,2026-01-01,Bindi_Packets,2,15.0,30.0,395.0
1,2026-01-01,Comb,1,20.0,20.0,395.0
1,2026-01-01,Razor,1,90.0,90.0,395.0
2,2026-01-01,Eyeliner,3,95.0,285.0,1030.0
2,2026-01-01,Bindi_Packets,1,15.0,15.0,1030.0
2,2026-01-01,Safety_Pins,4,25.0,100.0,1030.0
2,2026-01-01,Sindoor,4,25.0,100.0,1030.0
2,2026-01-01,Eyeliner,2,95.0,190.0,1030.0
2,2026-01-01,Eyeliner,4,85.0,340.0,1030.0
3,2026-01-01,Nail_Polish,4,60.0,240.0,1595.0
3,2026-01-01,Lipstick,4,100.0,400.0,1595.0
3,2026-01-01,Nail_Polish,1,50.0,50.0,1595.0
3,2026-01-01,Bangles,3,70.0,210.0,1595.0
3,2026-01-01,Safety_Pins,1,10.0,10.0,1595.0
3,2026-01-01,Necklace,1,475.0,475.0,1595.0
3,2026-01-01,Hair_Pins,2,25.0,50.0,1595.0
3,2026-01-01,Hair_Bands,1,20.0,20.0,1595.0
3,2026-01-01,Sindoor,2,45.0,90.0,1595.0
3,2026-01-01,Hair_Pins,2,20.0,40.0,1595.0
3,2026-01-01,Bindi_Packets,1,10.0,10.0,1595.0
4,2026-01-02,Eyeliner,3,95.0,285.0,1545.0
4,2026-01-02,Leggings,1,175.0,175.0,1545.0
4,2026-01-02,Comb,1,60.0,60.0,1545.0
4,2026-01-02,Safety_Pins,2,10.0,20.0,1545.0
4,2026-01-02,Leggings,1,205.0,205.0,1545.0
4,2026-01-02,Bangles,2,400.0,800.0,1545.0
5,2026-01-02,Finger_Ring,2,40.0,80.0,760.0
5,2026-01-02,Comb,1,60.0,60.0,760.0
5,2026-01-02,Earrings,4,155.0,620.0,760.0
6,2026-01-02,Necklace,2,475.0,950.0,1995.0
6,2026-01-02,Necklace,1,450.0,450.0,1995.0
6,2026-01-02,Comb,2,60.0,120.0,1995.0
6,2026-01-02,Nail_Polish,4,40.0,160.0,1995.0
6,2026-01-02,Comb,2,50.0,100.0,1995.0
6,2026-01-02,Finger_Ring,1,55.0,55.0,1995.0
6,2026-01-02,Eyeliner,1,100.0,100.0,1995.0
6,2026-01-02,Hair_Bands,1,20.0,20.0,1995.0
6,2026-01-02,Sindoor,1,40.0,40.0,1995.0
7,2026-01-02,Plazo_Patiala_Pant,1,350.0,350.0,1480.0
7,2026-01-02,Bangles,3,300.0,900.0,1480.0
7,2026-01-02,Fancy_Chain,2,65.0,130.0,1480.0
7,2026-01-02,Earrings,1,50.0,50.0,1480.0
7,2026-01-02,Pocket_Mirror,1,50.0,50.0,1480.0
8,2026-01-03,Eyeliner,2,100.0,200.0,1190.0
8,2026-01-03,Comb,2,30.0,60.0,1190.0
8,2026-01-03,Bangles,2,300.0,600.0,1190.0
8,2026-01-03,Bangles,3,90.0,270.0,1190.0
8,2026-01-03,Bindi_Packets,4,15.0,60.0,1190.0
9,2026-01-03,Pocket_Mirror,1,50.0,50.0,690.0
9,2026-01-03,Nail_Polish,3,40.0,120.0,690.0
9,2026-01-03,Sindoor,2,30.0,60.0,690.0
9,2026-01-03,Lipstick,3,80.0,240.0,690.0
9,2026-01-03,Finger_Ring,1,85.0,85.0,690.0
9,2026-01-03,Sindoor,3,45.0,135.0,690.0
10,2026-01-04,Bangles,4,110.0,440.0,2320.0
10,2026-01-04,Plazo_Patiala_Pant,1,250.0,250.0,2320.0
10,2026-01-04,Bangles,2,250.0,500.0,2320.0
10,2026-01-04,Earrings,3,85.0,255.0,2320.0
10,2026-01-04,Leggings,1,195.0,195.0,2320.0
10,2026-01-04,Fancy_Chain,4,105.0,420.0,2320.0
10,2026-01-04,Safety_Pins,3,20.0,60.0,2320.0
10,2026-01-04,Hair_Pins,4,20.0,80.0,2320.0
10,2026-01-04,Hair_Bands,4,30.0,120.0,2320.0
11,2026-01-05,Hair_Bands,3,35.0,105.0,1000.0
11,2026-01-05,Necklace,1,525.0,525.0,1000.0
11,2026-01-05,Safety_Pins,2,20.0,40.0,1000.0
11,2026-01-05,Hair_Pins,3,25.0,75.0,1000.0
11,2026-01-05,Safety_Pins,3,10.0,30.0,1000.0
11,2026-01-05,Hair_Bands,1,25.0,25.0,1000.0
11,2026-01-05,Nail_Polish,3,40.0,120.0,1000.0
11,2026-01-05,Eyeliner,1,80.0,80.0,1000.0
12,2026-01-05,Hair_Clips,4,50.0,200.0,945.0
12,2026-01-05,Hair_Pins,2,25.0,50.0,945.0
12,2026-01-05,Catalogue_Sareee,1,695.0,695.0,945.0
13,2026-01-05,Earrings,1,240.0,240.0,470.0
13,2026-01-05,Comb,3,50.0,150.0,470.0
13,2026-01-05,Lipstick,1,80.0,80.0,470.0
14,2026-01-05,Necklace,1,630.0,630.0,1565.0
14,2026-01-05,Fancy_Chain,1,45.0,45.0,1565.0
14,2026-01-05,Earrings,2,190.0,380.0,1565.0
14,2026-01-05,Razor,4,100.0,400.0,1565.0
14,2026-01-05,Finger_Ring,2,55.0,110.0,1565.0
15,2026-01-05,Pocket_Mirror,4,50.0,200.0,1795.0
15,2026-01-05,Nighty,1,325.0,325.0,1795.0
15,2026-01-05,Finger_Ring,1,55.0,55.0,1795.0
15,2026-01-05,Sindoor,2,45.0,90.0,1795.0
15,2026-01-05,Kajal,2,70.0,140.0,1795.0
15,2026-01-05,Hair_Bands,3,20.0,60.0,1795.0
15,2026-01-05,Kajal,4,90.0,360.0,1795.0
15,2026-01-05,Bangles,2,110.0,220.0,1795.0
15,2026-01-05,Bangles,3,70.0,210.0,1795.0
15,2026-01-05,Finger_Ring,3,45.0,135.0,1795.0
16,2026-01-06,Catalogue_Sareee,1,650.0,650.0,1155.0
16,2026-01-06,Hair_Clips,3,60.0,180.0,1155.0
16,2026-01-06,Nighty,1,325.0,325.0,1155.0
17,2026-01-07,Earrings,1,50.0,50.0,2125.0
17,2026-01-07,Earrings,4,275.0,1100.0,2125.0
17,2026-01-07,Bangles_,1,450.0,450.0,2125.0
17,2026-01-07,Razor,2,90.0,180.0,2125.0
17,2026-01-07,Hair_Pins,2,15.0,30.0,2125.0
17,2026-01-07,Safety_Pins,2,25.0,50.0,2125.0
17,2026-01-07,Bindi_Packets,1,10.0,10.0,2125.0
17,2026-01-07,Bangles,1,110.0,110.0,2125.0
17,2026-01-07,Hair_Bands,1,20.0,20.0,2125.0
17,2026-01-07,Pocket_Mirror,2,35.0,70.0,2125.0
17,2026-01-07,Nail_Polish,1,55.0,55.0,2125.0
18,2026-01-07,Fancy_Chain,3,105.0,315.0,2015.0
18,2026-01-07,Bangles,4,250.0,1000.0,2015.0
18,2026-01-07,Lipstick,2,100.0,200.0,2015.0
18,2026-01-07,Nail_Polish,1,55.0,55.0,2015.0
18,2026-01-07,Razor,1,90.0,90.0,2015.0
